id,pass
multi_turn_long_context_109,0.5714285714285714
multi_turn_long_context_115,1.0
multi_turn_long_context_121,0.6666666666666666
multi_turn_long_context_134,0.8
multi_turn_long_context_138,0.4
multi_turn_long_context_144,0.75
multi_turn_long_context_157,0.6666666666666666
multi_turn_long_context_159,0.25
multi_turn_long_context_162,0.42857142857142855
multi_turn_long_context_182,0.0
multi_turn_long_context_192,0.5
multi_turn_long_context_199,0.42857142857142855
accuracy,0.5385
